Indicator,Horizon,Mean_Return,Sharpe,Accuracy,Beta,t_beta_NW,p_value,R2,N
hammer,1,-0.0008813632081254689,-0.07000632387488967,0.47560975609756095,-0.0012057040849481745,-0.8613190245464156,0.3890623604853556,0.00012087068679089708,82
hammer,3,-0.002056974516950409,-0.09597340811571271,0.47560975609756095,-0.003008193965299562,-1.267276997911752,0.20505626228832963,0.00029222393731886953,82
hammer,5,-0.002420069987978052,-0.08299681797757885,0.5121951219512195,-0.00398233332642254,-1.2040327508250777,0.22857692029644638,0.00032312497609643387,82
hammer,7,-0.0018547923351855088,-0.05201158585857253,0.5365853658536586,-0.003999178136441392,-0.9661323817710087,0.33397794288016325,0.0002460297860603644,82
hammer,10,-0.0028100669627346008,-0.07996360257991092,0.524390243902439,-0.005851771977475055,-1.4844635101960832,0.13768599673716192,0.0003848244886446306,82
hanging_man,1,-0.0004083722097419185,-0.04190714764056167,0.4948453608247423,-0.00010058489428947579,-0.1010553779306604,0.9195064998971316,9.927878605875406e-07,97
hanging_man,3,-0.0015285954204127593,-0.10917846890100631,0.4845360824742268,-0.0006242083060330266,-0.4306866493068954,0.6666962275788131,1.4849584340725919e-05,97
hanging_man,5,-0.0015512666027609077,-0.09206259241261812,0.4639175257731959,-3.938008669779772e-05,-0.02271634272768157,0.9818765395880197,3.7290605381379294e-08,97
hanging_man,7,-0.001981558543668391,-0.08629655938761178,0.4020618556701031,0.00011450114469025796,0.048558014532386666,0.9612715300182331,2.3802157134156232e-07,97
hanging_man,10,-0.0027779563804040154,-0.10053201180179222,0.4020618556701031,0.00019338591986573818,0.06799665383342737,0.9457882979753299,4.960067836456972e-07,97
inverted_hammer,1,0.0006420904272753199,0.04573798193349966,0.5652173913043478,0.00033516578960032014,0.16377348634264127,0.8699094646605836,5.2687663747441604e-06,46
inverted_hammer,3,0.007419612303707048,0.2921827926919328,0.717391304347826,0.0065519387528866135,1.8027442298233374,0.07142839245357097,0.0007819780532933862,46
inverted_hammer,5,0.010451656261258884,0.29301020836061453,0.8478260869565217,0.009002332635224503,1.7298478252879026,0.08365746713875008,0.0009314444408352607,46
inverted_hammer,7,0.013102384650345196,0.4500566641943254,0.7608695652173914,0.011085802313643896,2.6077285517377984,0.00911452011295428,0.0010664309052729193,46
inverted_hammer,10,0.011765320211066336,0.34690956916998733,0.717391304347826,0.008859028074946797,1.787752436088473,0.07381595775072726,0.0004975233331792062,46
shooting_star,1,-0.0029450027830091076,-0.27561985273823064,0.3728813559322034,-0.00265964188272496,-1.9185088060206892,0.05504652660584864,0.0004246809296056808,59
shooting_star,3,-0.00359367804385807,-0.19908660310724513,0.4067796610169492,-0.002704383985801006,-1.1762431038526655,0.23949774449039019,0.00017053683921208762,59
shooting_star,5,-0.004605918968260238,-0.19529068086180568,0.3898305084745763,-0.0031215333056006027,-1.019219713523139,0.30809866972237265,0.000143353768469745,59
shooting_star,7,-0.006529970606159113,-0.26169041564264933,0.3220338983050847,-0.004475885268298232,-1.3961593102445982,0.16266652672511117,0.00022252684586554494,59
shooting_star,10,-0.008208370135842672,-0.3584114678321801,0.3898305084745763,-0.005287496433744458,-1.7847134832699412,0.07430780276964004,0.00022686480689582122,59
bullish_engulfing,1,-0.0008539111650344558,-0.0842853805768727,0.48031496062992124,-0.0011861417503808958,-1.3068633513722112,0.191259124796472,0.00017991862543531578,127
bullish_engulfing,3,-0.0018864435589767933,-0.11269905946083394,0.5118110236220472,-0.0028553392542987324,-1.9285106838117343,0.05379163664755417,0.0004049319312077193,127
bullish_engulfing,5,-0.0028260600920386437,-0.11319169021470432,0.48031496062992124,-0.004424206767896179,-2.034166948710414,0.04193476571332841,0.0006133772746097499,127
bullish_engulfing,7,-0.004327065460174522,-0.16511898787311322,0.4881889763779528,-0.006548281515437922,-2.8844745445827176,0.0039206745411964755,0.0010145220086298368,127
bullish_engulfing,10,-0.003158647996613306,-0.10250896559539338,0.5669291338582677,-0.006248220974361514,-2.3574542728256,0.018400721387205103,0.0006747763642411808,127
bearish_engulfing,1,-0.0016139755637772815,-0.1288477232125715,0.3902439024390244,-0.0013296242507783369,-1.1702298904476864,0.24190846714074454,0.0002190947941351773,123
bearish_engulfing,3,-0.001177525239201144,-0.0625090459583323,0.43089430894308944,-0.00026895104755994477,-0.15896569382717884,0.8736959024478463,3.481644475389345e-06,123
bearish_engulfing,5,-0.0005862898948369602,-0.023861635189885398,0.5040650406504065,0.0009438822860001641,0.4356089339692173,0.6631204877226524,2.7056022627425236e-05,123
bearish_engulfing,7,-0.0005618046281588713,-0.019566868268405927,0.4715447154471545,0.0015618637593089002,0.6158760106472388,0.5379763555724504,5.5932547636916574e-05,123
bearish_engulfing,10,-0.005797930921819928,-0.161727551825138,0.43902439024390244,-0.002883575998638537,-0.9176827948945202,0.3587849576876534,0.00013927768751409442,123
piercing_pattern,1,0.0008041787754291093,0.07847019682120203,0.5964912280701754,0.0004992412030162634,0.3689598621079951,0.712157642655763,1.4460844814823126e-05,57
piercing_pattern,3,0.00147737041350718,0.09658512593204041,0.6140350877192983,0.0005686947926481578,0.28303996936916226,0.7771461980589501,7.287799792532468e-06,57
piercing_pattern,5,0.0012553951169456436,0.05844462095343656,0.5263157894736842,-0.0002593278670700092,-0.09132158763447054,0.9272370652060732,9.561543764524671e-07,57
piercing_pattern,7,0.0038865962425323366,0.142121838791435,0.7017543859649122,0.001807949570733618,0.5020219033121495,0.6156521137161626,3.508759974568676e-05,57
piercing_pattern,10,0.00641360568082325,0.2341821129746752,0.6491228070175439,0.003475355659943645,0.9834044267186598,0.32540843247109486,9.471571513675059e-05,57
dark_cloud_cover,1,-0.003932717641187698,-0.30273025922693303,0.35064935064935066,-0.0036664666249389176,-2.478105714620711,0.013208200451761435,0.0010503809692383737,77
dark_cloud_cover,3,-0.00687820971833941,-0.39585541060962787,0.2987012987012987,-0.006035435458320261,-3.081989134433808,0.0020562234292136584,0.0011054351944536078,77
dark_cloud_cover,5,-0.00818642169495149,-0.31962001239492244,0.3116883116883117,-0.006753245152714184,-2.347744258200834,0.01888748464308339,0.000873237539159466,77
dark_cloud_cover,7,-0.004281999381632426,-0.11961351382063462,0.33766233766233766,-0.0022136328507698145,-0.5564461950597104,0.5779058666647738,7.08385283256785e-05,77
dark_cloud_cover,10,-0.006674904264732687,-0.19172468394074135,0.3116883116883117,-0.0037504941302273845,-0.9769117527092117,0.32861284284815273,0.0001485515557457795,77
morning_star,1,-0.0003882681670499423,-0.027294373636133847,0.5144927536231884,-0.0007125269008292014,-0.5842916881201077,0.5590240833788561,7.04267774077616e-05,138
morning_star,3,0.0013654288173042101,0.07451891005645661,0.6086956521739131,0.0004615206112581058,0.2964258882527523,0.7669048572644773,1.1475745558597872e-05,138
morning_star,5,0.0002927054981498573,0.014230449327841045,0.5217391304347826,-0.0012459827077701928,-0.7198662038075819,0.4716073781792498,5.2773119164961635e-05,138
morning_star,7,-0.001238933312533071,-0.046227723549780685,0.5362318840579711,-0.0034049715647882957,-1.5519217537780703,0.12068094707993356,0.00029755374498652287,138
morning_star,10,0.0010372404743391973,0.02882208447911417,0.5797101449275363,-0.001972784229321303,-0.68917111611917,0.4907155910421508,7.29688633157588e-05,138
evening_star,1,-0.0017073524828102357,-0.13148166678105996,0.42016806722689076,-0.0014239003404401688,-1.1932302660275664,0.23277920437529798,0.00024324557433696992,119
evening_star,3,-0.004192981895852902,-0.20950419961276268,0.40336134453781514,-0.0033399524236577445,-1.8315924249937752,0.06701216622928818,0.0005197926594716629,119
evening_star,5,-0.004584357190965648,-0.18719917337530823,0.4117647058823529,-0.003128660167355457,-1.4229571549463944,0.15474857595447594,0.0002877774711147474,119
evening_star,7,-0.003251870846576969,-0.1025452994276171,0.4117647058823529,-0.0011789039248585355,-0.4166400509306652,0.676941709730823,3.0849415525002755e-05,119
evening_star,10,-0.007102664024537372,-0.19723653678462993,0.3865546218487395,-0.004210648071705516,-1.3248643319392697,0.18521615287549176,0.0002874938545416317,119
rising_three_methods,1,-0.0006941633256942514,-0.09960038105070612,0.4474885844748858,-0.0010380824281807657,-2.1118765732349565,0.034697037229631814,0.0002342357462375988,219
rising_three_methods,3,-0.0005622429966432608,-0.04786872263405219,0.4977168949771689,-0.0015268320034688599,-1.797686201921439,0.07222674921568209,0.00019680389868370618,219
rising_three_methods,5,-0.00025148463771520427,-0.01688589183126438,0.5342465753424658,-0.001824894761774404,-1.681294708834229,0.0927056851321694,0.0001773842823062921,219
rising_three_methods,7,0.00029876937994833673,0.015886391924941828,0.6073059360730594,-0.0018576500948244896,-1.3390602142273715,0.1805510712023778,0.00013877629629144295,219
rising_three_methods,10,0.0010380161222808514,0.046703122486984563,0.6301369863013698,-0.001997209979497009,-1.1575558606245167,0.2470453308096241,0.00011718507106239784,219
falling_three_methods,1,-0.00028833626975648173,-0.024737849705553656,0.4177215189873418,2.119304282014096e-05,0.0162113776920336,0.9870657585713367,3.5994853764265144e-08,79
falling_three_methods,3,-0.0019350602531533981,-0.09213319543070772,0.4050632911392405,-0.0010338940880528199,-0.44513080510924224,0.6562252280673839,3.327135875830223e-05,79
falling_three_methods,5,-0.004888692226856395,-0.15149960180642458,0.34177215189873417,-0.003417390335386927,-0.9560152230178964,0.3390645435558155,0.00022935006334035002,79
falling_three_methods,7,-0.006374485863170216,-0.2164593270325326,0.4177215189873418,-0.004332324936405502,-1.3095913226690743,0.19033412549483275,0.0002782932520684067,79
falling_three_methods,10,-0.00427918421866851,-0.1254736433045657,0.43037974683544306,-0.0013266985674226374,-0.340295714742027,0.7336338439466861,1.9065445845289908e-05,79
rsi_oversold,1,0.004640290953399637,0.1854449017203243,0.5822784810126582,0.004437871976493305,2.2511864451048074,0.024373731055597935,0.0031182333799728568,158
rsi_oversold,3,0.006800167573816916,0.2017318815391947,0.6075949367088608,0.006031829367107629,1.8595834337962542,0.06294448491224351,0.0022372791333954423,158
rsi_oversold,5,0.00931266985992854,0.23049733057077004,0.6329113924050633,0.007992768328227946,1.8161199730911184,0.06935197050172627,0.00247859820274432,158
rsi_oversold,7,0.01183130858466142,0.2678743293712498,0.6392405063291139,0.009977398933290913,1.8728522863711918,0.0610887854624235,0.002916054522191791,158
rsi_oversold,10,0.007364318780575876,0.14311769763706467,0.5759493670886076,0.004504446178213027,0.6911180799272099,0.4894913391964836,0.0004341932812957916,158
