Date,Indicator,Return,Cumulative Return
2020-04-02,hammer,0.0,0.0
2020-04-03,hammer,-0.0,0.0
2020-04-06,hammer,0.0,0.0
2020-04-07,hammer,-0.0,0.0
2020-04-08,hammer,0.0,0.0
2020-04-09,hammer,0.0,0.0
2020-04-13,hammer,-0.0,0.0
2020-04-14,hammer,0.0,0.0
2020-04-15,hammer,-0.0,0.0
2020-04-16,hammer,0.0,0.0
2020-04-17,hammer,0.0,0.0
2020-04-20,hammer,-0.0,0.0
2020-04-21,hammer,-0.0,0.0
2020-04-22,hammer,0.0,0.0
2020-04-23,hammer,-0.0,0.0
2020-04-24,hammer,0.0,0.0
2020-04-27,hammer,0.0,0.0
2020-04-28,hammer,-0.0,0.0
2020-04-29,hammer,0.0,0.0
2020-04-30,hammer,-0.0,0.0
2020-05-01,hammer,-0.0,0.0
2020-05-04,hammer,0.0,0.0
2020-05-05,hammer,0.0,0.0
2020-05-06,hammer,-0.0,0.0
2020-05-07,hammer,0.0,0.0
2020-05-08,hammer,0.0,0.0
2020-05-11,hammer,0.0,0.0
2020-05-12,hammer,-0.0,0.0
2020-05-13,hammer,-0.0,0.0
2020-05-14,hammer,0.0,0.0
2020-05-15,hammer,0.0,0.0
2020-05-18,hammer,0.0,0.0
2020-05-19,hammer,-0.0,0.0
2020-05-20,hammer,0.0,0.0
2020-05-21,hammer,-0.0,0.0
2020-05-22,hammer,0.0,0.0
2020-05-26,hammer,0.0,0.0
2020-05-27,hammer,0.0,0.0
2020-05-28,hammer,-0.0,0.0
2020-05-29,hammer,0.0,0.0
2020-06-01,hammer,0.0,0.0
2020-06-02,hammer,0.0,0.0
2020-06-03,hammer,0.0,0.0
2020-06-04,hammer,-0.0,0.0
2020-06-05,hammer,0.0,0.0
2020-06-08,hammer,0.0,0.0
2020-06-09,hammer,-0.0,0.0
2020-06-10,hammer,-0.0,0.0
2020-06-11,hammer,-0.0,0.0
2020-06-12,hammer,0.0,0.0
2020-06-15,hammer,0.0,0.0
2020-06-16,hammer,0.0,0.0
2020-06-17,hammer,-0.0,0.0
2020-06-18,hammer,0.0,0.0
2020-06-19,hammer,-0.0,0.0
2020-06-22,hammer,0.0,0.0
2020-06-23,hammer,0.0,0.0
2020-06-24,hammer,-0.0,0.0
2020-06-25,hammer,0.0,0.0
2020-06-26,hammer,-0.0,0.0
2020-06-29,hammer,0.0,0.0
2020-06-30,hammer,0.0,0.0
2020-07-01,hammer,0.0,0.0
2020-07-02,hammer,0.0,0.0
2020-07-06,hammer,0.0,0.0
2020-07-07,hammer,-0.0,0.0
2020-07-08,hammer,0.0,0.0
2020-07-09,hammer,-0.0,0.0
2020-07-10,hammer,0.0,0.0
2020-07-13,hammer,-0.0,0.0
2020-07-14,hammer,0.0,0.0
2020-07-15,hammer,0.0,0.0
2020-07-16,hammer,-0.0,0.0
2020-07-17,hammer,0.0,0.0
2020-07-20,hammer,0.0,0.0
2020-07-21,hammer,0.0,0.0
2020-07-22,hammer,0.0,0.0
2020-07-23,hammer,-0.0,0.0
2020-07-24,hammer,-0.0,0.0
2020-07-27,hammer,0.0,0.0
2020-07-28,hammer,-0.0,0.0
2020-07-29,hammer,0.0,0.0
2020-07-30,hammer,-0.0,0.0
2020-07-31,hammer,0.0,0.0
2020-08-03,hammer,0.0,0.0
2020-08-04,hammer,0.0,0.0
2020-08-05,hammer,0.0,0.0
2020-08-06,hammer,0.0,0.0
2020-08-07,hammer,0.0,0.0
2020-08-10,hammer,0.0,0.0
2020-08-11,hammer,-0.0,0.0
2020-08-12,hammer,0.0,0.0
2020-08-13,hammer,-0.0,0.0
2020-08-14,hammer,-0.0,0.0
2020-08-17,hammer,0.0,0.0
2020-08-18,hammer,0.0,0.0
2020-08-19,hammer,-0.0,0.0
2020-08-20,hammer,0.0,0.0
2020-08-21,hammer,0.0,0.0
2020-08-24,hammer,0.0,0.0
2020-08-25,hammer,0.0,0.0
2020-08-26,hammer,0.0,0.0
2020-08-27,hammer,0.0,0.0
2020-08-28,hammer,0.0,0.0
2020-08-31,hammer,-0.0,0.0
2020-09-01,hammer,0.0,0.0
2020-09-02,hammer,0.0,0.0
2020-09-03,hammer,-0.0,0.0
2020-09-04,hammer,-0.0,0.0
2020-09-08,hammer,-0.0,0.0
2020-09-09,hammer,0.0,0.0
2020-09-10,hammer,-0.0,0.0
2020-09-11,hammer,0.0,0.0
2020-09-14,hammer,0.0,0.0
2020-09-15,hammer,0.0,0.0
2020-09-16,hammer,-0.0,0.0
2020-09-17,hammer,-0.0,0.0
2020-09-18,hammer,-0.0,0.0
2020-09-21,hammer,-0.0,0.0
2020-09-22,hammer,0.010517942372282096,0.010517942372282096
2020-09-23,hammer,-0.02372141140135786,-0.013452969467184439
2020-09-24,hammer,0.002987407782707008,-0.01050575119016417
2020-09-25,hammer,0.015976763311659203,0.0053031642213186014
2020-09-28,hammer,0.016110548559024496,0.02149914966504718
2020-09-29,hammer,-0.0,0.02149914966504718
2020-09-30,hammer,0.0,0.02149914966504718
2020-10-01,hammer,0.0,0.02149914966504718
2020-10-02,hammer,-0.0,0.02149914966504718
2020-10-05,hammer,0.0,0.02149914966504718
2020-10-06,hammer,-0.0,0.02149914966504718
2020-10-07,hammer,0.0,0.02149914966504718
2020-10-08,hammer,0.0,0.02149914966504718
2020-10-09,hammer,0.0,0.02149914966504718
2020-10-12,hammer,0.0,0.02149914966504718
2020-10-13,hammer,-0.0,0.02149914966504718
2020-10-14,hammer,-0.0,0.02149914966504718
2020-10-15,hammer,-0.0,0.02149914966504718
2020-10-16,hammer,0.0,0.02149914966504718
2020-10-19,hammer,-0.0,0.02149914966504718
2020-10-20,hammer,0.0,0.02149914966504718
2020-10-21,hammer,-0.0,0.02149914966504718
2020-10-22,hammer,0.0,0.02149914966504718
2020-10-23,hammer,0.0,0.02149914966504718
2020-10-26,hammer,-0.0,0.02149914966504718
2020-10-27,hammer,-0.0,0.02149914966504718
2020-10-28,hammer,-0.0,0.02149914966504718
2020-10-29,hammer,0.0,0.02149914966504718
2020-10-30,hammer,-0.0,0.02149914966504718
2020-11-02,hammer,0.0,0.02149914966504718
2020-11-03,hammer,0.0,0.02149914966504718
2020-11-04,hammer,0.0,0.02149914966504718
2020-11-05,hammer,0.0,0.02149914966504718
2020-11-06,hammer,-0.0,0.02149914966504718
2020-11-09,hammer,0.0,0.02149914966504718
2020-11-10,hammer,-0.0,0.02149914966504718
2020-11-11,hammer,0.0,0.02149914966504718
2020-11-12,hammer,-0.0,0.02149914966504718
2020-11-13,hammer,0.0,0.02149914966504718
2020-11-16,hammer,0.0,0.02149914966504718
2020-11-17,hammer,-0.0,0.02149914966504718
2020-11-18,hammer,-0.0,0.02149914966504718
2020-11-19,hammer,0.0,0.02149914966504718
2020-11-20,hammer,-0.0,0.02149914966504718
2020-11-23,hammer,0.0,0.02149914966504718
2020-11-24,hammer,0.0,0.02149914966504718
2020-11-25,hammer,-0.0,0.02149914966504718
2020-11-27,hammer,0.0,0.02149914966504718
2020-11-30,hammer,-0.0,0.02149914966504718
2020-12-01,hammer,0.0,0.02149914966504718
2020-12-02,hammer,0.0,0.02149914966504718
2020-12-03,hammer,-0.0,0.02149914966504718
2020-12-04,hammer,0.0,0.02149914966504718
2020-12-07,hammer,-0.0,0.02149914966504718
2020-12-08,hammer,0.0,0.02149914966504718
2020-12-09,hammer,-0.0,0.02149914966504718
2020-12-10,hammer,-0.0,0.02149914966504718
2020-12-11,hammer,-0.0,0.02149914966504718
2020-12-14,hammer,-0.0,0.02149914966504718
2020-12-15,hammer,0.0,0.02149914966504718
2020-12-16,hammer,0.0,0.02149914966504718
2020-12-17,hammer,0.0,0.02149914966504718
2020-12-18,hammer,-0.0,0.02149914966504718
2020-12-21,hammer,-0.0,0.02149914966504718
2020-12-22,hammer,-0.0,0.02149914966504718
2020-12-23,hammer,0.0,0.02149914966504718
2020-12-24,hammer,0.0,0.02149914966504718
2020-12-28,hammer,0.0,0.02149914966504718
2020-12-29,hammer,-0.0,0.02149914966504718
2020-12-30,hammer,0.0,0.02149914966504718
2020-12-31,hammer,0.0,0.02149914966504718
2021-01-04,hammer,-0.0,0.02149914966504718
2021-01-05,hammer,0.0,0.02149914966504718
2021-01-06,hammer,0.0,0.02149914966504718
2021-01-07,hammer,0.0,0.02149914966504718
2021-01-08,hammer,0.0,0.02149914966504718
2021-01-11,hammer,-0.0,0.02149914966504718
2021-01-12,hammer,0.0,0.02149914966504718
2021-01-13,hammer,0.0,0.02149914966504718
2021-01-14,hammer,-0.0,0.02149914966504718
2021-01-15,hammer,-0.0,0.02149914966504718
2021-01-19,hammer,0.0,0.02149914966504718
2021-01-20,hammer,0.0,0.02149914966504718
2021-01-21,hammer,0.0,0.02149914966504718
2021-01-22,hammer,-0.0,0.02149914966504718
2021-01-25,hammer,0.0,0.02149914966504718
2021-01-26,hammer,-0.0,0.02149914966504718
2021-01-27,hammer,-0.0,0.02149914966504718
2021-01-28,hammer,0.0,0.02149914966504718
2021-01-29,hammer,-0.0,0.02149914966504718
2021-02-01,hammer,0.0,0.02149914966504718
2021-02-02,hammer,0.0,0.02149914966504718
2021-02-03,hammer,0.0,0.02149914966504718
2021-02-04,hammer,0.0,0.02149914966504718
2021-02-05,hammer,0.0,0.02149914966504718
2021-02-08,hammer,0.0,0.02149914966504718
2021-02-09,hammer,-0.0,0.02149914966504718
2021-02-10,hammer,-0.0,0.02149914966504718
2021-02-11,hammer,0.0,0.02149914966504718
2021-02-12,hammer,0.0,0.02149914966504718
2021-02-16,hammer,-0.0,0.02149914966504718
2021-02-17,hammer,-0.0,0.02149914966504718
2021-02-18,hammer,-0.0,0.02149914966504718
2021-02-19,hammer,-0.0,0.02149914966504718
2021-02-22,hammer,-0.0,0.02149914966504718
2021-02-23,hammer,0.0,0.02149914966504718
2021-02-24,hammer,0.0,0.02149914966504718
2021-02-25,hammer,-0.0,0.02149914966504718
2021-02-26,hammer,-0.0,0.02149914966504718
2021-03-01,hammer,0.0,0.02149914966504718
2021-03-02,hammer,-0.0,0.02149914966504718
2021-03-03,hammer,-0.0,0.02149914966504718
2021-03-04,hammer,-0.0,0.02149914966504718
2021-03-05,hammer,0.0,0.02149914966504718
2021-03-08,hammer,-0.0,0.02149914966504718
2021-03-09,hammer,0.0,0.02149914966504718
2021-03-10,hammer,0.0,0.02149914966504718
